Mode,Environment Coverage,Redundancy,Exploration Efficiency,Path Diversity
Curiosity,0.625,-151.00000018825833,0.7860527839107619,0.982535836962255
Random Walk,0.9025,8693,0.30458125428336585,0.9940677562099871
Curiosity,0.595,-139.00000000000017,0.38297810581875097,0.965491622954238
Hybrid,0.605,-143.0000000000158,0.43589689860706754,0.9757478915146534
Random Walk,0.9025,17671,0.15301783500281257,0.9978210145330739
Curiosity,0.865,-247.00000000000006,0.2823984236212976,0.9841539098152506
Hybrid,0.8975,-260.00000000000006,0.33560521759406986,0.9859399115068886
Random Walk,0.9025,26403,0.10368990307236299,0.9971682368535911
Curiosity,0.9,-261.0000000000001,0.19222939047292173,0.9935127119870044
Hybrid,0.845,-239.0000000000001,0.20605137299373516,0.9898296734669005
Hybrid,0.89,-257.00000000000017,0.2133641568516068,0.9894700378386749
Hybrid,0.8675,-248.0000000000001,0.20477310454243405,0.9874308560615739
Random Walk,0.9,8422,0.3158723319231544,0.9979726504024676
Curiosity,10_10_Cross,0.7225,4084,0.0010744621731664837,0.987719273304575
Curiosity,15_15_Maze,0.35,3992,0.0005269193053397295,0.9883992478382586
Hybrid,15_15_Maze,0.42333333333333334,4094,0.0006054159186708975,0.9942598059932428
Curiosity,15_15_Maze,0.69,1464,0.0008072690671932623,0.9836939396331208
Curiosity,15_15_Maze,0.67,1512,0.0007627277594406166,0.9710355284401692
Curiosity,15_15_Maze,0.5044444444444445,1646,0.0005935412565755855,0.966162169341307
